FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.30095021900000E+06, 0.60630904400000E+07, -0.2200000E+02,  0.1481017E+05,  0.1521045E+05,           2,           0,           1,           1
, 0.30077210900000E+06, 0.60631817200000E+07, -0.2200000E+02,  0.1501031E+05,  0.1521045E+05,           1,           0,           1,           1
, 0.30059400000000E+06, 0.60632730000000E+07, -0.2288230E+02,  0.1521045E+05,  0.1521045E+05,,,           1,           1
, 0.30103748200000E+06, 0.60661706800000E+07,  0.1301935E+00,  0.0000000E+00,  0.6645172E+03,        4405,           0,           2,           2
, 0.30108762500000E+06, 0.60662694300000E+07, -0.3204761E+00,  0.1107514E+03,  0.6645172E+03,        4406,           0,           2,           2
, 0.30113776800000E+06, 0.60663681800000E+07, -0.9433740E+00,  0.2215029E+03,  0.6645172E+03,        4407,           0,           2,           2
, 0.30118791000000E+06, 0.60664669300000E+07, -0.2155623E+01,  0.3322539E+03,  0.6645172E+03,        4408,           0,           2,           2
, 0.30123805300000E+06, 0.60665656800000E+07, -0.2827882E+01,  0.4430054E+03,  0.6645172E+03,        4410,           0,           2,           2
, 0.30128819600000E+06, 0.60666644300000E+07, -0.1878192E+01,  0.5537568E+03,  0.6645172E+03,        4409,           0,           2,           2
, 0.30133833900000E+06, 0.60667631900000E+07,  0.1969130E+01,  0.6645172E+03,  0.6645172E+03,,,           2,           2
, 0.30975906900000E+06, 0.60653012400000E+07,  0.5306485E+00,  0.0000000E+00,  0.7005275E+03,        4042,           0,           3,           3
, 0.30982322600000E+06, 0.60652276800000E+07,  0.5041212E+00,  0.9760735E+02,  0.7005275E+03,        4045,           0,           3,           3
, 0.30988660700000E+06, 0.60651497000000E+07,  0.7096186E+00,  0.1980963E+03,  0.7005275E+03,        4103,           0,           3,           3
, 0.30994998900000E+06, 0.60650717200000E+07,  0.1032815E+01,  0.2985859E+03,  0.7005275E+03,        4152,           0,           3,           3
, 0.31001337000000E+06, 0.60649937500000E+07,  0.4259708E+00,  0.3990671E+03,  0.7005275E+03,        4202,           0,           3,           3
, 0.31007675200000E+06, 0.60649157700000E+07, -0.5044401E+00,  0.4995567E+03,  0.7005275E+03,        4249,           0,           3,           3
, 0.31014013300000E+06, 0.60648378000000E+07,  0.1290055E+01,  0.6000379E+03,  0.7005275E+03,        4253,           0,           3,           3
, 0.31020351500000E+06, 0.60647598200000E+07,  0.1088366E+01,  0.7005275E+03,  0.7005275E+03,,,           3,           3
, 0.31359041200000E+06, 0.60634484600000E+07,  0.9516593E+00,  0.0000000E+00,  0.9305773E+02,        4565,           0,           4,           4
, 0.31362564500000E+06, 0.60633623300000E+07,  0.3109002E+00,  0.9305773E+02,  0.9305773E+02,,,           4,           4
, 0.31538000100000E+06, 0.60626248300000E+07,  0.4467273E+00,  0.0000000E+00,  0.1008001E+04,        4321,           0,           5,           5
, 0.31549064100000E+06, 0.60625645500000E+07,  0.2201586E+00,  0.1259956E+03,  0.1008001E+04,        4336,           0,           5,           5
, 0.31560207100000E+06, 0.60625057300000E+07,  0.7450000E-01,  0.2519973E+03,  0.1008001E+04,        4367,           0,           5,           5
, 0.31571365900000E+06, 0.60624472100000E+07,  0.2051751E+00,  0.3779992E+03,  0.1008001E+04,        4396,           0,           5,           5
, 0.31582518300000E+06, 0.60623885700000E+07,  0.4788622E-02,  0.5040002E+03,  0.1008001E+04,        4411,           0,           5,           5
, 0.31593657500000E+06, 0.60623296800000E+07,  0.1757599E+00,  0.6300010E+03,  0.1008001E+04,        4425,           0,           5,           5
, 0.31604777600000E+06, 0.60622704300000E+07,  0.2913622E+00,  0.7560020E+03,  0.1008001E+04,        4450,           0,           5,           5
, 0.31615891100000E+06, 0.60622110600000E+07,  0.4925599E+00,  0.8820011E+03,  0.1008001E+04,        4473,           0,           5,           5
, 0.31626994500000E+06, 0.60621515000000E+07,  0.4676569E+00,  0.1008001E+04,  0.1008001E+04,,,           5,           5
, 0.31897452400000E+06, 0.60605095200000E+07,  0.2813754E+00,  0.0000000E+00,  0.1627889E+04,        4842,           0,           6,           6
, 0.31907993800000E+06, 0.60604419300000E+07, -0.1849044E+00,  0.1252219E+03,  0.1627889E+04,        4843,           0,           6,           6
, 0.31918529200000E+06, 0.60603742500000E+07, -0.1512068E+00,  0.2504419E+03,  0.1627889E+04,        4863,           0,           6,           6
, 0.31929065400000E+06, 0.60603065800000E+07, -0.4792298E-01,  0.3756632E+03,  0.1627889E+04,        4882,           0,           6,           6
, 0.31939593100000E+06, 0.60602387700000E+07, -0.9318672E-01,  0.5008887E+03,  0.1627889E+04,        4900,           0,           6,           6
, 0.31950096700000E+06, 0.60601706000000E+07, -0.2879297E+00,  0.6261074E+03,  0.1627889E+04,        4917,           0,           6,           6
, 0.31960573400000E+06, 0.60601020100000E+07, -0.4423567E+00,  0.7513300E+03,  0.1627889E+04,        4925,           0,           6,           6
, 0.31971016700000E+06, 0.60600329100000E+07, -0.4341614E+00,  0.8765541E+03,  0.1627889E+04,        4939,           0,           6,           6
, 0.31981456700000E+06, 0.60599637600000E+07, -0.4620547E+00,  0.1001778E+04,  0.1627889E+04,        4955,           0,           6,           6
, 0.31991894700000E+06, 0.60598945800000E+07, -0.3374450E+00,  0.1127002E+04,  0.1627889E+04,        4960,           0,           6,           6
, 0.32002333400000E+06, 0.60598254200000E+07, -0.2008744E+00,  0.1252221E+04,  0.1627889E+04,        4970,           0,           6,           6
, 0.32012772600000E+06, 0.60597562600000E+07, -0.9639592E-01,  0.1377444E+04,  0.1627889E+04,        4980,           0,           6,           6
, 0.32023325300000E+06, 0.60596888400000E+07,  0.2783383E+00,  0.1502669E+04,  0.1627889E+04,        4991,           0,           6,           6
, 0.32033895800000E+06, 0.60596217100000E+07,  0.4161121E+00,  0.1627889E+04,  0.1627889E+04,,,           6,           6
, 0.37875800000000E+06, 0.60013503000000E+07,  0.3383853E+01,  0.0000000E+00,  0.6696932E+02,       26248,           0,           7,           7
, 0.37877356700000E+06, 0.60013343000000E+07,  0.2802171E+01,  0.2232334E+02,  0.6696932E+02,       26249,           0,           7,           7
, 0.37878913300000E+06, 0.60013183000000E+07,  0.3147346E+01,  0.4464598E+02,  0.6696932E+02,       26250,           0,           7,           7
, 0.37880470000000E+06, 0.60013023000000E+07,  0.3102666E+01,  0.6696932E+02,  0.6696932E+02,,,           7,           7
