id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
        7686,  0.3141690E+06,  0.6062623E+07,     9.998,    12.256
        7687,  0.3142340E+06,  0.6062621E+07,     2.586,     3.055
        7688,  0.3142226E+06,  0.6062593E+07,     2.737,     3.316
        7689,  0.3141892E+06,  0.6063179E+07,    19.860,  3003.042
        7690,  0.3141737E+06,  0.6063069E+07,    16.522,  1293.744
        7691,  0.3142473E+06,  0.6063122E+07,    16.266,  1754.536
        7692,  0.3142594E+06,  0.6063231E+07,    18.497,  3304.302
        7693,  0.3141962E+06,  0.6062965E+07,    15.048,   166.076
        7694,  0.3142271E+06,  0.6063017E+07,    14.956,  1080.780
        7695,  0.3142813E+06,  0.6062904E+07,    15.778,   599.230
        7696,  0.3142578E+06,  0.6062969E+07,    14.578,  1060.720
        7697,  0.3142616E+06,  0.6062534E+07,    11.336,    15.497
        7698,  0.3143075E+06,  0.6062495E+07,     3.887,     5.686
        7699,  0.3142746E+06,  0.6062562E+07,    10.470,    13.387
        7700,  0.3143225E+06,  0.6062525E+07,     3.367,     4.392
        7701,  0.3142876E+06,  0.6062591E+07,     9.914,    12.198
        7702,  0.3143374E+06,  0.6062554E+07,     3.037,     3.717
        7703,  0.3143038E+06,  0.6062208E+07,    11.114,    18.733
        7704,  0.3143148E+06,  0.6062314E+07,    15.127,    56.118
        7705,  0.3143462E+06,  0.6062234E+07,    11.961,    30.588
        7706,  0.3143320E+06,  0.6062101E+07,    12.395,    17.787
        7707,  0.3143553E+06,  0.6062174E+07,    13.438,    21.375
        7708,  0.3143279E+06,  0.6062010E+07,    12.535,    17.504
        7709,  0.3144092E+06,  0.6062077E+07,    11.015,    15.626
        7710,  0.3143995E+06,  0.6062019E+07,    10.934,    15.104
        7711,  0.3143003E+06,  0.6061913E+07,    12.483,    18.113
        7712,  0.3143632E+06,  0.6061930E+07,     9.738,    13.719
        7713,  0.3143473E+06,  0.6062415E+07,    12.849,    22.165
        7714,  0.3143835E+06,  0.6062334E+07,    14.387,    32.017
        7715,  0.3143683E+06,  0.6062486E+07,    11.409,    16.003
        7716,  0.3144097E+06,  0.6062441E+07,     4.520,     6.822
        7717,  0.3140668E+06,  0.6061545E+07,    14.490,   890.009
        7718,  0.3141396E+06,  0.6061627E+07,    14.935,   178.600
        7719,  0.3141253E+06,  0.6061564E+07,    14.884,   605.170
        7720,  0.3139840E+06,  0.6061472E+07,    18.724,  2298.410
        7721,  0.3141032E+06,  0.6061501E+07,    15.818,  1008.904
        7722,  0.3142486E+06,  0.6061660E+07,    14.004,   132.605
        7723,  0.3141760E+06,  0.6061583E+07,    13.016,   602.247
        7724,  0.3142346E+06,  0.6061601E+07,    14.700,   589.506
        7725,  0.3142993E+06,  0.6061816E+07,    16.918,    27.066
        7726,  0.3143589E+06,  0.6061878E+07,    11.467,    16.852
        7727,  0.3143047E+06,  0.6061722E+07,    16.121,    43.218
        7728,  0.3143652E+06,  0.6061776E+07,    12.037,    19.684
        7729,  0.3142929E+06,  0.6061615E+07,    14.270,   545.540
        7730,  0.3143627E+06,  0.6061675E+07,    14.812,    42.594
        7731,  0.3124279E+06,  0.6062627E+07,    18.067,   272.489
        7732,  0.3124830E+06,  0.6062580E+07,    15.473,   262.224
        7733,  0.3124756E+06,  0.6062679E+07,    21.276,   273.643
        7734,  0.3025518E+06,  0.6066180E+07,     9.910,    11.723
        7735,  0.3024854E+06,  0.6066179E+07,     3.472,     4.125
        7736,  0.3025655E+06,  0.6066220E+07,    10.023,    11.886
        7737,  0.3024993E+06,  0.6066219E+07,     3.424,     4.044
        7738,  0.3025793E+06,  0.6066260E+07,    10.778,    13.146
        7739,  0.3025132E+06,  0.6066259E+07,     3.538,     4.238
        7740,  0.3025930E+06,  0.6066299E+07,    11.886,    15.290
        7741,  0.3025271E+06,  0.6066300E+07,     3.805,     4.725
        7742,  0.3026256E+06,  0.6066365E+07,    12.566,    17.217
        7743,  0.3025410E+06,  0.6066340E+07,     4.151,     5.448
        7744,  0.3026020E+06,  0.6066433E+07,    12.124,    16.728
        7745,  0.3023964E+06,  0.6066021E+07,    14.304,    33.169
        7746,  0.3024048E+06,  0.6066137E+07,    11.196,    14.049
        7747,  0.3023188E+06,  0.6066089E+07,     9.047,    14.718
        7748,  0.3023386E+06,  0.6066137E+07,     4.273,     5.593
        7749,  0.3023335E+06,  0.6065936E+07,    23.175,   385.277
        7750,  0.3024188E+06,  0.6066178E+07,    10.215,    12.297
        7751,  0.3023530E+06,  0.6066178E+07,     3.808,     4.647
        7752,  0.3024329E+06,  0.6066218E+07,     9.894,    11.758
        7753,  0.3023674E+06,  0.6066220E+07,     3.615,     4.308
        7754,  0.3025906E+06,  0.6066515E+07,    10.242,    14.339
        7755,  0.3025951E+06,  0.6066622E+07,    11.647,    16.513
        7756,  0.3025604E+06,  0.6066576E+07,    10.040,    14.062
        7757,  0.3025173E+06,  0.6066409E+07,    10.874,    14.827
        7758,  0.3025224E+06,  0.6066518E+07,    10.622,    14.834
        7759,  0.3024869E+06,  0.6066475E+07,    10.409,    14.321
        7760,  0.3027873E+06,  0.6066831E+07,    20.664,  4252.360
        7761,  0.3027942E+06,  0.6066901E+07,    19.693,  4249.512
        7762,  0.3026770E+06,  0.6066782E+07,    13.593,    26.006
        7763,  0.3026859E+06,  0.6066850E+07,    15.397,    85.673
        7764,  0.3025899E+06,  0.6066715E+07,    11.619,    16.781
        7765,  0.3026272E+06,  0.6066827E+07,    13.329,    26.722
        7766,  0.3025642E+06,  0.6066793E+07,    10.068,    15.730
        7767,  0.3025269E+06,  0.6066625E+07,    10.813,    15.145
        7768,  0.3025242E+06,  0.6066696E+07,    13.467,    19.195
        7769,  0.3096109E+06,  0.6064951E+07,     8.246,    16.302
        7770,  0.3095932E+06,  0.6064890E+07,    11.880,    23.087
        7771,  0.3096253E+06,  0.6065007E+07,    13.636,    28.719
        7772,  0.3096728E+06,  0.6065025E+07,    10.196,   201.809
        7773,  0.3096622E+06,  0.6064946E+07,     9.017,    41.019
        7774,  0.3096889E+06,  0.6064971E+07,     9.237,   299.004
        7775,  0.3093888E+06,  0.6064581E+07,    11.461,    16.313
        7776,  0.3094983E+06,  0.6064676E+07,    11.896,    18.071
        7777,  0.3094531E+06,  0.6064599E+07,     9.386,    13.132
        7778,  0.3095109E+06,  0.6064619E+07,    10.649,    15.448
        7779,  0.3095421E+06,  0.6064750E+07,    11.230,    19.594
        7780,  0.3095703E+06,  0.6064691E+07,     9.840,    16.259
        7781,  0.3094779E+06,  0.6064535E+07,     8.931,    12.304
        7782,  0.3095880E+06,  0.6064825E+07,     9.777,    18.170
        7783,  0.3096008E+06,  0.6064774E+07,    10.959,    20.126
        7784,  0.3096445E+06,  0.6064885E+07,     9.650,    57.704
        7785,  0.3096273E+06,  0.6064810E+07,     9.039,    20.675
        7786,  0.3096609E+06,  0.6064852E+07,     7.834,   100.225
        7787,  0.3096925E+06,  0.6065217E+07,    18.939,  2281.736
        7788,  0.3097418E+06,  0.6065157E+07,    15.657,    87.367
        7789,  0.3097677E+06,  0.6065206E+07,    12.472,   112.837
        7790,  0.3097160E+06,  0.6065275E+07,    15.968,  2517.685
        7791,  0.3097336E+06,  0.6065097E+07,     9.515,   402.953
        7792,  0.3097267E+06,  0.6065051E+07,    13.284,   494.898
        7793,  0.3097646E+06,  0.6065082E+07,    10.208,  1121.379
        7794,  0.3097974E+06,  0.6065178E+07,    12.849,   108.082
        7795,  0.3098080E+06,  0.6065104E+07,    13.779,  1141.816
        7796,  0.3143551E+06,  0.6062711E+07,    11.948,    15.847
        7797,  0.3143135E+06,  0.6062648E+07,    10.221,    12.314
        7798,  0.3143823E+06,  0.6062644E+07,     3.028,     3.713
        7799,  0.3144264E+06,  0.6062811E+07,    14.998,   312.404
        7800,  0.3144508E+06,  0.6062741E+07,    13.462,    19.888
        7801,  0.3143006E+06,  0.6062620E+07,     9.759,    11.748
        7802,  0.3143674E+06,  0.6062614E+07,     2.784,     3.280
        7803,  0.3143992E+06,  0.6062877E+07,    15.701,   347.553
        7804,  0.3143706E+06,  0.6062942E+07,    15.916,  1313.177
        7805,  0.3144340E+06,  0.6062927E+07,    15.470,  1497.355
        7806,  0.3145224E+06,  0.6062841E+07,    17.227,   359.392
        7807,  0.3145017E+06,  0.6062917E+07,    16.250,  1686.942
        7808,  0.3143524E+06,  0.6062584E+07,     2.833,     3.358
        7809,  0.3143176E+06,  0.6063174E+07,    20.094,  3123.156
        7810,  0.3143007E+06,  0.6063070E+07,    19.982,  1759.142
        7811,  0.3143791E+06,  0.6063111E+07,    16.458,  2303.932
        7812,  0.3143852E+06,  0.6063225E+07,    19.363,  3163.484
        7813,  0.3143471E+06,  0.6063007E+07,    17.138,  1371.622
        7814,  0.3144731E+06,  0.6062982E+07,    16.797,  1913.495
        7815,  0.3144255E+06,  0.6063048E+07,    17.669,  2288.622
