id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       42148,  0.3718691E+06,  0.6008835E+07,     8.844,    10.154
       42149,  0.3719191E+06,  0.6008947E+07,    11.310,    12.903
       42150,  0.3719980E+06,  0.6008928E+07,    10.844,    12.711
       42151,  0.3719323E+06,  0.6008850E+07,    11.883,    13.816
       42152,  0.3720108E+06,  0.6008870E+07,     9.023,    10.723
       42153,  0.3721714E+06,  0.6009075E+07,    13.477,    19.157
       42154,  0.3720884E+06,  0.6009002E+07,    12.284,    15.346
       42155,  0.3721629E+06,  0.6009014E+07,    13.345,    17.660
       42156,  0.3722889E+06,  0.6009107E+07,    19.321,   956.192
       42157,  0.3722127E+06,  0.6009040E+07,    13.720,    22.646
       42158,  0.3720680E+06,  0.6008897E+07,    11.689,    14.182
       42159,  0.3721165E+06,  0.6008925E+07,    10.572,    13.257
       42160,  0.3723897E+06,  0.6009159E+07,    65.222,  4986.260
       42161,  0.3723366E+06,  0.6009057E+07,    18.397,   949.859
       42162,  0.3724012E+06,  0.6009083E+07,    25.594,  1496.056
       42163,  0.3724656E+06,  0.6009159E+07,    47.324,  4986.531
       42164,  0.3717137E+06,  0.6008411E+07,    10.730,    12.593
       42165,  0.3716784E+06,  0.6008480E+07,     8.649,     9.869
       42166,  0.3706219E+06,  0.6007437E+07,    12.074,    15.738
       42167,  0.3705510E+06,  0.6007436E+07,    14.751,    21.199
       42168,  0.3707777E+06,  0.6007461E+07,    12.237,    14.782
       42169,  0.3706935E+06,  0.6007425E+07,    14.812,    18.912
       42170,  0.3707656E+06,  0.6007400E+07,    10.832,    13.560
       42171,  0.3708657E+06,  0.6007518E+07,    10.395,    12.112
       42172,  0.3708175E+06,  0.6007410E+07,    10.747,    13.072
       42173,  0.3708939E+06,  0.6007458E+07,    10.853,    12.868
       42174,  0.3706268E+06,  0.6007359E+07,    14.770,    21.994
       42175,  0.3706883E+06,  0.6007344E+07,    12.957,    17.773
       42176,  0.3709654E+06,  0.6007566E+07,     9.512,    10.953
       42177,  0.3709300E+06,  0.6007505E+07,    10.367,    11.903
       42178,  0.3710800E+06,  0.6007579E+07,    10.000,    11.406
       42179,  0.3710593E+06,  0.6007516E+07,     9.247,    10.469
       42180,  0.3711839E+06,  0.6007614E+07,     8.484,     9.631
       42181,  0.3711612E+06,  0.6007540E+07,     8.959,    10.009
       42182,  0.3714497E+06,  0.6007942E+07,    10.585,    12.570
       42183,  0.3714731E+06,  0.6008018E+07,    11.644,    14.106
       42184,  0.3714299E+06,  0.6007841E+07,    11.689,    13.697
       42185,  0.3715136E+06,  0.6007907E+07,    13.817,    17.656
       42186,  0.3715013E+06,  0.6007831E+07,    10.273,    12.551
       42187,  0.3713501E+06,  0.6007764E+07,    12.049,    13.691
       42188,  0.3714198E+06,  0.6007739E+07,    10.544,    12.081
       42189,  0.3712735E+06,  0.6007686E+07,     8.914,    10.082
       42190,  0.3713415E+06,  0.6007670E+07,     8.339,     9.334
       42191,  0.3715580E+06,  0.6008063E+07,    13.518,    17.088
       42192,  0.3715370E+06,  0.6007983E+07,    11.056,    13.776
       42193,  0.3712645E+06,  0.6007575E+07,     8.705,     9.651
       42194,  0.3713048E+06,  0.6007621E+07,     9.260,    10.416
       42195,  0.3716621E+06,  0.6008086E+07,    10.778,    13.694
       42196,  0.3716222E+06,  0.6008029E+07,    11.652,    14.803
       42197,  0.3717029E+06,  0.6008136E+07,    12.093,    14.727
       42198,  0.3717408E+06,  0.6008185E+07,    10.670,    13.096
       42199,  0.3717627E+06,  0.6008134E+07,    10.534,    12.985
       42200,  0.3716848E+06,  0.6008029E+07,    12.232,    15.975
       42201,  0.3717803E+06,  0.6008063E+07,    11.661,    14.654
       42202,  0.3717568E+06,  0.6008348E+07,    11.420,    13.307
       42203,  0.3717768E+06,  0.6008240E+07,    11.145,    13.289
       42204,  0.3718162E+06,  0.6008287E+07,     9.372,    11.247
       42205,  0.3717677E+06,  0.6008455E+07,     9.368,    10.804
       42206,  0.3718054E+06,  0.6008397E+07,    11.903,    14.120
       42207,  0.3718432E+06,  0.6008154E+07,    12.952,    15.714
       42208,  0.3718401E+06,  0.6008230E+07,    10.508,    12.703
       42209,  0.3704880E+06,  0.6007365E+07,    22.137,  1694.389
       42210,  0.3705559E+06,  0.6007357E+07,    15.809,    26.799
       42211,  0.3704374E+06,  0.6007292E+07,    76.303,  4998.404
       42212,  0.3704899E+06,  0.6007287E+07,    21.399,  1682.409
       42213,  0.3704705E+06,  0.6007245E+07,    47.119,  4930.844
       42214,  0.3704317E+06,  0.6007188E+07,    38.774,  4931.130
       42215,  0.3717692E+06,  0.6008689E+07,     7.808,     8.911
       42216,  0.3718655E+06,  0.6008770E+07,    10.495,    12.137
       42217,  0.3718249E+06,  0.6008678E+07,     9.969,    11.554
       42218,  0.3717105E+06,  0.6008588E+07,     8.772,     9.998
       42219,  0.3717323E+06,  0.6008525E+07,    11.425,    13.293
       42220,  0.3717867E+06,  0.6008627E+07,     9.530,    11.083
       42221,  0.3719725E+06,  0.6008776E+07,     9.503,    11.341
       42222,  0.3719313E+06,  0.6008746E+07,     9.385,    11.078
       42223,  0.3720511E+06,  0.6008797E+07,    13.496,    16.457
       42224,  0.3721293E+06,  0.6008867E+07,    12.672,    15.906
