id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       18456,  0.3447032E+06,  0.6037979E+07,    94.566,  2707.167
       18457,  0.3445795E+06,  0.6037885E+07,   117.312,  6596.575
       18458,  0.3445798E+06,  0.6037818E+07,   184.280,  6113.643
       18459,  0.3445192E+06,  0.6037804E+07,  4999.500,  9959.017
       18460,  0.3446713E+06,  0.6037882E+07,   208.393,  4573.720
       18461,  0.3448214E+06,  0.6038010E+07,    97.210,  1103.852
       18462,  0.3449115E+06,  0.6038011E+07,   145.874,  1577.779
       18463,  0.3447449E+06,  0.6037913E+07,   147.655,  2884.852
       18464,  0.3448307E+06,  0.6037926E+07,   180.347,  1794.495
       18465,  0.3452317E+06,  0.6038322E+07,   319.756,  9909.323
       18466,  0.3451710E+06,  0.6038267E+07,   121.478,  1382.548
       18467,  0.3452374E+06,  0.6038258E+07,   189.944,  2085.393
       18468,  0.3453119E+06,  0.6038357E+07,  1151.210,  9803.383
       18469,  0.3452787E+06,  0.6038285E+07,   205.636,  2826.896
       18470,  0.3451322E+06,  0.6038213E+07,   114.292,  1313.694
       18471,  0.3451984E+06,  0.6038203E+07,   223.799,  1888.036
       18472,  0.3450934E+06,  0.6038159E+07,   114.404,  1310.334
       18473,  0.3451595E+06,  0.6038148E+07,   226.335,  1900.933
       18474,  0.3450547E+06,  0.6038105E+07,   115.493,  1336.837
       18475,  0.3451206E+06,  0.6038093E+07,   188.449,  1860.865
       18476,  0.3450159E+06,  0.6038051E+07,   116.504,  1383.763
       18477,  0.3450816E+06,  0.6038038E+07,   165.329,  1778.244
       18478,  0.3453790E+06,  0.6038423E+07,  1084.364,  8723.029
       18479,  0.3453676E+06,  0.6038320E+07,   274.105,  3118.056
       18480,  0.3454127E+06,  0.6038364E+07,   510.097,  9735.487
       18481,  0.3454410E+06,  0.6038422E+07,   351.665,  9208.491
       18482,  0.3454696E+06,  0.6038485E+07,  4999.500,  9686.609
       18483,  0.3449771E+06,  0.6037997E+07,   121.371,  1502.357
       18484,  0.3450427E+06,  0.6037983E+07,   151.788,  1734.545
       18485,  0.3449208E+06,  0.6037928E+07,   137.292,  1539.545
       18486,  0.3450038E+06,  0.6037928E+07,   166.358,  1916.992
       18487,  0.3446715E+06,  0.6037815E+07,   187.375,  4087.814
       18488,  0.3447546E+06,  0.6037838E+07,   206.032,  1970.744
       18489,  0.3445701E+06,  0.6037756E+07,   226.117,  7057.396
       18490,  0.3446868E+06,  0.6037738E+07,   148.161,  1789.177
       18491,  0.3446214E+06,  0.6037707E+07,   399.584,  8486.605
       18492,  0.3445029E+06,  0.6037682E+07,  4999.500,  9981.151
       18493,  0.3448405E+06,  0.6037851E+07,   161.907,  2295.074
       18494,  0.3449249E+06,  0.6037841E+07,   341.998,  3523.328
       18495,  0.3447699E+06,  0.6037761E+07,   343.893,  5947.035
       18496,  0.3448351E+06,  0.6037771E+07,   295.608,  3046.040
       18497,  0.3452648E+06,  0.6038194E+07,   134.702,  1570.503
       18498,  0.3453344E+06,  0.6038248E+07,   382.516,  6554.987
       18499,  0.3453338E+06,  0.6038188E+07,   288.363,  3162.663
       18500,  0.3452257E+06,  0.6038138E+07,   125.040,  1425.813
       18501,  0.3452923E+06,  0.6038129E+07,   268.652,  2493.979
       18502,  0.3454296E+06,  0.6038318E+07,   311.627,  3440.377
       18503,  0.3453839E+06,  0.6038215E+07,   254.713,  3881.275
       18504,  0.3454418E+06,  0.6038251E+07,   444.137,  6532.687
       18505,  0.3451866E+06,  0.6038082E+07,   124.320,  1410.406
       18506,  0.3452508E+06,  0.6038071E+07,   273.231,  2368.243
