FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.30783130133333E+06, 0.60598311866667E+07, -0.2589017E+02,           1,  0.1508646E+05,         134
, 0.30793043166667E+06, 0.60598570466667E+07, -0.2555683E+02,           1,  0.1750525E+05,         135
, 0.30805616667348E+06, 0.60597640859062E+07, -0.2516762E+02,           1,  0.3023763E+05,         136
, 0.30821113001194E+06, 0.60596724993563E+07, -0.2500002E+02,           1,  0.2735547E+05,         137
, 0.30837489354599E+06, 0.60595889280093E+07, -0.2567974E+02,           1,  0.2798895E+05,         138
, 0.30853984206581E+06, 0.60595026134258E+07, -0.2674996E+02,           1,  0.2842215E+05,         139
, 0.30870217851841E+06, 0.60594119574450E+07, -0.2748340E+02,           1,  0.2827329E+05,         140
, 0.30886670569503E+06, 0.60593213768052E+07, -0.2741315E+02,           1,  0.3049586E+05,         141
, 0.30905313917479E+06, 0.60592345658399E+07, -0.2700000E+02,           1,  0.2912375E+05,         142
, 0.30922459640727E+06, 0.60591501342962E+07, -0.2700000E+02,           1,  0.2892989E+05,         143
, 0.30936001333333E+06, 0.60591118733333E+07, -0.2700000E+02,           1,  0.1403361E+05,         144
, 0.30940919700000E+06, 0.60590180000000E+07, -0.2700000E+02,           1,  0.1768507E+05,         145
, 0.30956287796679E+06, 0.60589700374094E+07, -0.2700000E+02,           1,  0.3615562E+05,         146
, 0.30973231630722E+06, 0.60588775873314E+07, -0.2700000E+02,           1,  0.3851750E+05,         147
, 0.30990657925409E+06, 0.60587801937572E+07, -0.2700000E+02,           1,  0.3873719E+05,         148
, 0.31007814828573E+06, 0.60586868385595E+07, -0.2700000E+02,           1,  0.3152352E+05,         149
, 0.31024853896934E+06, 0.60586037749331E+07, -0.2700001E+02,           1,  0.3302185E+05,         150
, 0.31039916300000E+06, 0.60585668733333E+07, -0.2700001E+02,           1,  0.1792778E+05,         151
, 0.31045300566667E+06, 0.60584686166667E+07, -0.2766668E+02,           1,  0.2198647E+05,         152
, 0.31058502300000E+06, 0.60584694000000E+07, -0.2600000E+02,           1,  0.1804178E+05,         153
, 0.31068855963688E+06, 0.60583732085481E+07, -0.2560613E+02,           1,  0.3419394E+05,         154
, 0.31085757897578E+06, 0.60582810734284E+07, -0.2585613E+02,           1,  0.3317014E+05,         155
, 0.31101785873313E+06, 0.60581871369047E+07, -0.2600000E+02,           1,  0.3134664E+05,         156
, 0.31113266366667E+06, 0.60581004766667E+07, -0.2600000E+02,           1,  0.1490983E+05,         157
, 0.31127373212419E+06, 0.60581486708097E+07, -0.2600000E+02,           1,  0.3748365E+05,         158
, 0.31132842866667E+06, 0.60579990000000E+07, -0.2600000E+02,           1,  0.1707214E+05,         159
, 0.31147109885561E+06, 0.60579452385609E+07, -0.2550000E+02,           1,  0.3349785E+05,         160
, 0.31164502263499E+06, 0.60578484619503E+07, -0.2450000E+02,           1,  0.3217587E+05,         161
, 0.31181732401859E+06, 0.60577491436420E+07, -0.2400000E+02,           1,  0.3241550E+05,         162
, 0.31199048559891E+06, 0.60576515100921E+07, -0.2400000E+02,           1,  0.3243939E+05,         163
, 0.31216363882800E+06, 0.60575537247562E+07, -0.2400000E+02,           1,  0.3247689E+05,         164
, 0.31233690257245E+06, 0.60574558630604E+07, -0.2442550E+02,           1,  0.3251976E+05,         165
, 0.31251023502005E+06, 0.60573579400265E+07, -0.2399866E+02,           1,  0.3254685E+05,         166
, 0.31268368337562E+06, 0.60572599715552E+07, -0.2428941E+02,           1,  0.3259650E+05,         167
, 0.31285715161907E+06, 0.60571619056524E+07, -0.2571624E+02,           1,  0.3259673E+05,         168
, 0.31303055456351E+06, 0.60570637898721E+07, -0.2600000E+02,           1,  0.3259925E+05,         169
, 0.31320406663807E+06, 0.60569656756996E+07, -0.2600000E+02,           1,  0.3258462E+05,         170
, 0.31337778238461E+06, 0.60568684316758E+07, -0.2523000E+02,           1,  0.3269027E+05,         171
, 0.31354913915550E+06, 0.60567771487985E+07, -0.2423000E+02,           1,  0.3282602E+05,         172
, 0.31374169162085E+06, 0.60567712686111E+07, -0.2400000E+02,           1,  0.4165264E+05,         173
, 0.31374732533333E+06, 0.60566190066667E+07, -0.2400000E+02,           1,  0.1974850E+05,         174
