id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12454,  0.3293051E+06,  0.6051992E+07,    11.075,    13.043
       12455,  0.3293261E+06,  0.6051928E+07,     7.373,     8.573
       12456,  0.3290507E+06,  0.6051660E+07,    15.063,    26.431
       12457,  0.3291314E+06,  0.6051652E+07,    12.699,    19.596
       12458,  0.3293682E+06,  0.6052045E+07,    11.107,    13.041
       12459,  0.3293902E+06,  0.6051981E+07,     7.270,     8.416
       12460,  0.3290596E+06,  0.6051595E+07,    13.314,   106.756
       12461,  0.3294314E+06,  0.6052098E+07,    11.353,    13.372
       12462,  0.3294543E+06,  0.6052034E+07,     7.263,     8.412
       12463,  0.3294945E+06,  0.6052151E+07,    12.038,    14.415
       12464,  0.3295183E+06,  0.6052087E+07,     7.448,     8.708
       12465,  0.3295664E+06,  0.6052216E+07,    13.198,    16.295
       12466,  0.3295824E+06,  0.6052139E+07,     7.878,     9.429
       12467,  0.3296489E+06,  0.6052292E+07,    13.263,    17.057
       12468,  0.3296613E+06,  0.6052220E+07,    11.517,    14.306
       12469,  0.3297293E+06,  0.6052364E+07,    14.313,    19.765
       12470,  0.3297453E+06,  0.6052295E+07,    11.713,    15.344
       12471,  0.3297200E+06,  0.6052431E+07,    13.360,    19.109
       12472,  0.3297123E+06,  0.6052499E+07,    13.171,    20.591
       12473,  0.3297596E+06,  0.6052467E+07,    11.769,    18.829
       12474,  0.3298204E+06,  0.6052368E+07,    13.363,    19.099
       12475,  0.3298212E+06,  0.6052437E+07,    15.151,    24.433
       12476,  0.3297671E+06,  0.6052588E+07,    18.666,  1010.391
       12477,  0.3298135E+06,  0.6052504E+07,    15.608,    30.925
       12478,  0.3298378E+06,  0.6052612E+07,    18.699,  1085.397
       12479,  0.3292813E+06,  0.6051813E+07,    11.380,    13.663
       12480,  0.3292337E+06,  0.6051742E+07,    11.693,    14.508
       12481,  0.3292996E+06,  0.6051750E+07,     8.290,    10.004
       12482,  0.3293463E+06,  0.6051865E+07,    11.214,    13.346
       12483,  0.3293655E+06,  0.6051802E+07,     7.757,     9.151
       12484,  0.3291954E+06,  0.6051656E+07,    13.498,    19.303
       12485,  0.3292642E+06,  0.6051663E+07,    11.177,    14.603
       12486,  0.3294113E+06,  0.6051918E+07,    11.154,    13.196
       12487,  0.3294314E+06,  0.6051855E+07,     7.574,     8.859
       12488,  0.3291403E+06,  0.6051588E+07,    19.254,   125.343
       12489,  0.3292129E+06,  0.6051570E+07,    13.187,    22.380
       12490,  0.3294762E+06,  0.6051970E+07,    11.205,    13.224
       12491,  0.3294973E+06,  0.6051907E+07,     7.475,     8.706
       12492,  0.3291457E+06,  0.6051510E+07,    14.589,   784.702
       12493,  0.3295412E+06,  0.6052023E+07,    11.468,    13.588
       12494,  0.3295632E+06,  0.6051959E+07,     7.491,     8.736
       12495,  0.3296062E+06,  0.6052075E+07,    12.049,    14.463
       12496,  0.3296291E+06,  0.6052012E+07,     7.634,     8.971
       12497,  0.3296774E+06,  0.6052143E+07,    13.120,    16.197
       12498,  0.3296950E+06,  0.6052064E+07,     7.969,     9.538
       12499,  0.3297577E+06,  0.6052222E+07,    13.509,    17.425
       12500,  0.3297703E+06,  0.6052149E+07,    11.638,    14.448
       12501,  0.3298364E+06,  0.6052299E+07,    14.336,    19.827
       12502,  0.3298520E+06,  0.6052227E+07,    13.042,    17.131
       12503,  0.3298742E+06,  0.6052405E+07,    14.556,    23.727
       12504,  0.3299331E+06,  0.6052301E+07,    12.975,    18.591
       12505,  0.3299303E+06,  0.6052367E+07,    16.372,    26.592
       12506,  0.3298841E+06,  0.6052528E+07,    19.851,  1097.020
       12507,  0.3299311E+06,  0.6052435E+07,    16.710,    33.583
       12508,  0.3299381E+06,  0.6052497E+07,    16.290,   803.837
       12509,  0.3299472E+06,  0.6052551E+07,    18.376,  2385.735
       12510,  0.3293838E+06,  0.6051740E+07,    11.604,    14.090
       12511,  0.3293301E+06,  0.6051671E+07,    12.319,    15.670
       12512,  0.3294012E+06,  0.6051677E+07,     8.702,    10.739
       12513,  0.3294506E+06,  0.6051792E+07,    11.355,    13.613
       12514,  0.3294689E+06,  0.6051729E+07,     8.003,     9.548
       12515,  0.3292816E+06,  0.6051577E+07,    12.901,    19.117
       12516,  0.3293500E+06,  0.6051578E+07,    12.488,    16.768
       12517,  0.3295174E+06,  0.6051844E+07,    11.276,    13.428
       12518,  0.3295366E+06,  0.6051781E+07,     7.764,     9.154
       12519,  0.3292183E+06,  0.6051493E+07,    26.969,   809.898
       12520,  0.3293218E+06,  0.6051526E+07,    13.907,    21.998
       12521,  0.3292855E+06,  0.6051471E+07,    22.102,    38.219
       12522,  0.3295842E+06,  0.6051896E+07,    11.325,    13.451
       12523,  0.3296044E+06,  0.6051833E+07,     7.643,     8.963
       12524,  0.3291949E+06,  0.6051399E+07,    86.491,  4999.327
       12525,  0.3296511E+06,  0.6051948E+07,    11.560,    13.771
       12526,  0.3296721E+06,  0.6051885E+07,     7.612,     8.918
