ID,LND_phreatic,ASS_pass0_lay1,ASS_anc0_lay1,ASS_uzaass,ASS_szaass
7534,0.0000,0.3833,0.3539,0.3223,-3.9005
7535,0.0000,0.2834,0.5239,0.6509,-8.3507
7536,0.2322,0.2000,0.2784,0.0000,-45.0000
7537,0.2322,0.2838,0.2688,0.0000,-45.0000
7538,0.2322,0.4194,0.2688,0.0000,-45.0000
7539,0.2322,0.4199,0.2686,0.0000,-45.0000
7540,0.2322,0.4398,0.2632,0.0000,-45.0000
7541,0.2322,0.4150,0.2622,0.0000,-45.0000
7542,0.2322,0.2000,0.3018,0.0000,-45.0000
7543,0.2322,0.2000,0.3088,0.0000,-45.0000
7544,0.2322,0.2000,0.3905,0.0000,-45.0000
7545,0.2322,0.2000,0.3054,0.0000,-45.0000
7546,0.0000,0.2000,0.2000,0.0000,0.0000
7547,0.0000,0.2000,0.2000,0.0000,0.0000
7548,0.0000,0.2000,0.2000,0.0000,0.0000
7549,0.0000,0.2000,0.2000,0.0000,0.0000
7550,0.0000,0.2000,0.2000,0.0000,0.0000
7551,0.0000,0.2000,0.2000,0.0000,0.0000
7552,0.0845,0.2243,0.2182,0.0000,-8.1847
7553,0.0000,0.2000,0.2000,0.0000,0.0000
7554,0.0631,0.2181,0.2136,0.0000,-6.1157
7555,0.0000,0.2000,0.2000,0.0000,0.0000
7556,0.0000,0.2000,0.2000,0.0000,0.0000
7557,0.0000,0.2000,0.2000,0.0000,0.0000
7558,0.0000,0.2000,0.2000,0.0000,0.0000
7559,0.0000,0.2000,0.2000,0.0000,0.0000
7560,0.0000,0.2000,0.2000,0.0000,0.0000
7561,0.0000,0.2000,0.2000,0.0000,0.0000
7562,0.0000,0.2000,0.2000,0.0000,0.0000
7563,0.0000,0.1845,0.1873,0.1152,-1.0266
7564,0.0000,0.1991,0.1994,0.0093,-0.0835
7565,0.0000,0.1519,0.1550,0.2328,-2.0641
7566,0.0000,0.2000,0.2000,0.0000,0.0000
7567,0.0000,0.1443,0.1291,0.3055,-2.7001
7568,0.0000,0.2000,0.2000,0.0000,0.0000
7569,0.0000,0.2000,0.2000,0.0000,0.0000
7570,0.0000,0.2887,0.2010,0.3033,-2.7000
7571,0.0011,0.2012,0.2009,0.0000,-0.2629
7572,0.0154,0.2302,0.2114,0.0430,-0.6049
7573,0.0349,0.2687,0.2259,0.0975,-1.3737
7574,0.0547,0.3080,0.2408,0.1543,-2.1657
7575,0.0482,0.3466,0.2485,0.2244,-2.6991
7576,0.0089,0.3655,0.2345,0.2870,-2.6998
7577,0.0107,0.2122,0.2092,0.0000,-2.6415
7578,0.0113,0.2130,0.2098,0.0000,-2.8121
7579,0.2166,0.2622,0.2466,0.0000,-13.4298
7580,0.1910,0.2548,0.2411,0.0000,-11.8416
7581,0.2322,0.2667,0.2500,0.0000,-14.4000
7582,0.1525,0.2438,0.2328,0.0000,-9.4558
7583,0.2322,0.2667,0.2500,0.0000,-14.4000
7584,0.0663,0.2190,0.2143,0.0000,-4.1127
7585,0.2322,0.2567,0.2500,0.0000,-14.4000
7586,0.2322,0.2438,0.2500,0.0000,-14.4000
7587,0.0587,0.2991,0.1618,0.3191,-12.3660
7588,0.0000,0.3947,0.2117,0.6560,-11.7649
7589,0.0000,0.4785,0.2671,0.8868,-10.8117
7590,0.0000,0.4284,0.2530,0.8451,-10.7998
7591,0.0000,0.4790,0.2702,0.8465,-10.7998
7592,0.0000,0.4002,0.2419,0.8202,-10.7997
7593,0.0015,0.3600,0.2271,0.7958,-10.7996
7594,0.0000,0.4017,0.3586,0.7247,-10.3427
7595,0.0000,0.4560,0.2620,0.7509,-10.7994
7596,0.0000,0.3917,0.3591,0.7954,-10.7996
7597,0.0000,0.3026,0.5073,0.6769,-8.8375
7598,0.0000,0.3260,0.5195,0.7525,-9.9383
7599,0.0000,0.2897,0.5744,0.7160,-9.1137
7600,0.0000,0.2894,0.3523,0.5107,-6.1867
7601,0.0000,0.2614,0.5300,0.5345,-6.6016
7602,0.0000,0.2699,0.6069,0.6273,-7.6689
7603,0.2708,0.4061,0.4028,0.0000,-11.0762
7604,0.0000,0.2000,0.2000,0.0000,0.0000
7605,0.0000,0.2000,0.2000,0.0000,0.0000
7606,0.0000,0.4590,0.3467,0.3637,-4.4018
7607,0.0000,0.3774,0.5651,0.6300,-7.6259
7608,0.0000,0.3521,0.3201,0.6281,-7.6048
7609,0.0000,0.5109,0.5706,0.6886,-8.3343
7610,0.0000,0.7311,0.5008,0.7460,-9.0281
7611,0.0000,0.2749,0.6491,0.6803,-8.2856
7612,0.2322,0.3284,0.2972,0.0000,-45.0000
7613,0.2322,0.3432,0.2840,0.0000,-45.0000
7614,0.2322,0.4175,0.2799,0.0000,-45.0000
7615,0.2322,0.4671,0.2623,0.0000,-45.0000
7616,0.2322,0.4975,0.2490,0.0000,-45.0000
7617,0.0000,0.2000,0.2000,0.0000,0.0000
7618,0.0000,0.2000,0.2000,0.0000,0.0000
7619,0.0000,0.2000,0.2000,0.0000,0.0000
7620,0.0000,0.2000,0.2000,0.0000,0.0000
7621,0.0000,0.2000,0.2000,0.0000,0.0000
7622,0.0000,0.2000,0.2000,0.0000,0.0000
7623,0.0000,0.2000,0.2000,0.0000,0.0000
7624,0.0000,0.2000,0.2000,0.0000,0.0000
7625,0.0000,0.2000,0.2000,0.0000,0.0000
7626,0.0000,0.2000,0.2000,0.0000,0.0000
7627,0.0000,0.2000,0.2000,0.0000,0.0000
7628,0.0000,0.2000,0.2000,0.0000,0.0000
7629,0.0000,0.2000,0.2000,0.0000,0.0000
7630,0.0000,0.2000,0.2000,0.0000,0.0000
7631,0.0000,0.1926,0.1933,0.0800,-0.7141
7632,0.0000,0.2000,0.2000,0.0000,0.0000
7633,0.0000,0.1826,0.1861,0.1857,-1.6589
7634,0.0000,0.2000,0.2000,0.0000,0.0000
7635,0.0000,0.1877,0.1600,0.3039,-2.7001
7636,0.0000,0.1743,0.1771,0.2764,-2.4687
7637,0.0000,0.2000,0.2000,0.0000,0.0000
7638,0.0000,0.2879,0.1942,0.3034,-2.7000
7639,0.0000,0.2000,0.2000,0.0000,0.0000
7640,0.0009,0.2010,0.2008,0.0000,-0.2207
7641,0.0000,0.3302,0.2212,0.3003,-2.7000
7642,0.0019,0.2022,0.2017,0.0000,-0.4835
7643,0.0000,0.2000,0.2000,0.0000,0.0000
7644,0.0219,0.2431,0.2162,0.0612,-0.8613
7645,0.0394,0.2985,0.2278,0.1509,-1.9208
7646,0.0196,0.3508,0.2135,0.2683,-2.6996
7647,0.0000,0.3402,0.1993,0.2990,-2.7000
7648,0.0029,0.2033,0.2025,0.0000,-0.7221
7649,0.0534,0.2153,0.2115,0.0000,-3.3108
7650,0.0441,0.2127,0.2095,0.0000,-2.7361
7651,0.0668,0.2192,0.2144,0.0000,-4.1420
7652,0.0438,0.2126,0.2094,0.0000,-2.7134
7653,0.0848,0.2243,0.2183,0.0000,-5.2593
7654,0.0000,0.2000,0.2000,0.0000,0.0000
