Time,Q
16/06/2014 00:00:00,0.0449
17/06/2014 00:00:00,0.0586
18/06/2014 00:00:00,0.0808
19/06/2014 00:00:00,0.0840
20/06/2014 00:00:00,0.0472
21/06/2014 00:00:00,0.0479
22/06/2014 00:00:00,0.0914
23/06/2014 00:00:00,-0.1117
24/06/2014 00:00:00,-0.2132
25/06/2014 00:00:00,-0.0666
26/06/2014 00:00:00,0.0041
27/06/2014 00:00:00,0.0419
28/06/2014 00:00:00,-0.1568
29/06/2014 00:00:00,-0.1603
30/06/2014 00:00:00,-0.0228
01/07/2014 00:00:00,0.0602
02/07/2014 00:00:00,0.0803
03/07/2014 00:00:00,0.0803
04/07/2014 00:00:00,0.0258
05/07/2014 00:00:00,0.0272
06/07/2014 00:00:00,0.0682
07/07/2014 00:00:00,0.0977
08/07/2014 00:00:00,0.0983
09/07/2014 00:00:00,-0.0857
10/07/2014 00:00:00,-0.1008
11/07/2014 00:00:00,0.0438
12/07/2014 00:00:00,0.0589
13/07/2014 00:00:00,0.1046
14/07/2014 00:00:00,0.1365
15/07/2014 00:00:00,0.0985
16/07/2014 00:00:00,0.0374
17/07/2014 00:00:00,-0.0105
18/07/2014 00:00:00,0.0304
19/07/2014 00:00:00,0.0541
20/07/2014 00:00:00,0.0590
21/07/2014 00:00:00,0.0594
22/07/2014 00:00:00,0.0560
23/07/2014 00:00:00,0.0686
24/07/2014 00:00:00,0.0588
25/07/2014 00:00:00,0.0443
26/07/2014 00:00:00,0.0456
27/07/2014 00:00:00,0.0528
28/07/2014 00:00:00,0.0447
29/07/2014 00:00:00,0.0236
30/07/2014 00:00:00,0.0380
31/07/2014 00:00:00,-0.0099
01/08/2014 00:00:00,-0.0796
02/08/2014 00:00:00,0.0375
03/08/2014 00:00:00,0.0685
04/08/2014 00:00:00,0.0708
05/08/2014 00:00:00,0.0720
06/08/2014 00:00:00,0.0724
07/08/2014 00:00:00,0.0754
08/08/2014 00:00:00,0.0781
09/08/2014 00:00:00,0.0751
10/08/2014 00:00:00,0.0651
11/08/2014 00:00:00,0.0778
12/08/2014 00:00:00,0.0765
13/08/2014 00:00:00,0.0768
14/08/2014 00:00:00,0.0738
15/08/2014 00:00:00,0.0663
16/08/2014 00:00:00,0.0632
17/08/2014 00:00:00,0.0559
18/08/2014 00:00:00,0.0549
19/08/2014 00:00:00,0.0518
20/08/2014 00:00:00,0.0531
21/08/2014 00:00:00,0.0518
22/08/2014 00:00:00,0.0554
23/08/2014 00:00:00,0.0425
24/08/2014 00:00:00,0.0328
25/08/2014 00:00:00,0.0387
26/08/2014 00:00:00,0.0447
27/08/2014 00:00:00,0.0452
28/08/2014 00:00:00,0.0468
29/08/2014 00:00:00,0.0485
30/08/2014 00:00:00,0.0513
31/08/2014 00:00:00,0.0519
01/09/2014 00:00:00,0.0299
02/09/2014 00:00:00,0.0382
03/09/2014 00:00:00,0.0576
04/09/2014 00:00:00,0.0573
05/09/2014 00:00:00,0.0512
06/09/2014 00:00:00,0.0544
07/09/2014 00:00:00,0.0644
08/09/2014 00:00:00,0.0871
09/09/2014 00:00:00,0.0378
10/09/2014 00:00:00,0.0310
11/09/2014 00:00:00,0.0319
12/09/2014 00:00:00,0.0486
13/09/2014 00:00:00,0.0504
14/09/2014 00:00:00,0.0509
15/09/2014 00:00:00,0.0291
16/09/2014 00:00:00,0.0297
17/09/2014 00:00:00,0.0303
18/09/2014 00:00:00,0.0445
19/09/2014 00:00:00,0.0528
20/09/2014 00:00:00,0.0528
21/09/2014 00:00:00,0.0520
22/09/2014 00:00:00,0.0530
23/09/2014 00:00:00,0.0531
24/09/2014 00:00:00,0.0389
25/09/2014 00:00:00,0.0341
26/09/2014 00:00:00,0.0423
27/09/2014 00:00:00,0.0494
28/09/2014 00:00:00,0.0368
29/09/2014 00:00:00,0.0311
30/09/2014 00:00:00,0.0182
01/10/2014 00:00:00,0.0296
02/10/2014 00:00:00,0.0400
03/10/2014 00:00:00,0.0475
04/10/2014 00:00:00,0.0368
05/10/2014 00:00:00,0.0392
06/10/2014 00:00:00,0.0369
07/10/2014 00:00:00,0.0179
08/10/2014 00:00:00,0.0360
09/10/2014 00:00:00,0.0473
10/10/2014 00:00:00,0.0333
11/10/2014 00:00:00,0.0317
12/10/2014 00:00:00,0.0256
13/10/2014 00:00:00,0.0071
14/10/2014 00:00:00,0.0283
15/10/2014 00:00:00,0.0331
16/10/2014 00:00:00,0.0277
17/10/2014 00:00:00,0.0424
18/10/2014 00:00:00,0.0389
19/10/2014 00:00:00,0.0268
20/10/2014 00:00:00,0.0369
21/10/2014 00:00:00,0.0448
22/10/2014 00:00:00,0.0171
23/10/2014 00:00:00,0.0258
