75,301926.732801384,6066337.93051103
76,301936.583772069,6066336.21051784
77,301946.434742754,6066334.49052466
78,301956.285713439,6066332.77053147
79,301966.136684125,6066331.05053828
80,301975.98765481,6066329.3305451
81,301985.838625495,6066327.61055191
82,301995.68959618,6066325.89055872
83,302005.540566865,6066324.17056554
84,302015.39153755,6066322.45057235
85,302025.242508235,6066320.73057916
86,302035.09347892,6066319.01058598
87,302044.944449605,6066317.29059279
88,302054.795420291,6066315.57059961
89,302064.646390976,6066313.85060642
90,302074.497361661,6066312.13061323
91,302084.348332346,6066310.41062005
92,302094.199303031,6066308.69062686
93,302104.050273716,6066306.97063367
94,302113.901244401,6066305.25064049
95,302123.752215086,6066303.5306473
96,302133.603185772,6066301.81065412
97,302143.454156457,6066300.09066093
98,302153.305127142,6066298.37066774
99,302163.156097827,6066296.65067456
100,302173.007068512,6066294.93068137
101,302182.858039197,6066293.21068818
102,302192.709009882,6066291.490695
103,302202.559980567,6066289.77070181
104,302212.410951253,6066288.05070863
105,302222.261921938,6066286.33071544
106,302232.112892623,6066284.61072225
107,302241.963863308,6066282.89072907
108,302251.814833993,6066281.17073588
109,302261.665804678,6066279.45074269
110,302271.516775363,6066277.73074951
111,302281.367746048,6066276.01075632
112,302291.218716734,6066274.29076314
113,302301.069687419,6066272.57076995
114,302310.920658104,6066270.85077676
115,302320.771628789,6066269.13078358
116,302330.622599474,6066267.41079039
117,302340.473570159,6066265.6907972
118,302350.324540844,6066263.97080402
119,302360.175511529,6066262.25081083
120,302370.026482214,6066260.53081764
121,302379.8774529,6066258.81082446
122,302389.728423585,6066257.09083127
123,302399.57939427,6066255.37083809
124,302409.430364955,6066253.6508449
125,302419.28133564,6066251.93085171
126,302429.132306325,6066250.21085853
127,302438.98327701,6066248.49086534
128,302448.834247695,6066246.77087215
129,302458.685218381,6066245.05087897
130,302468.536189066,6066243.33088578
131,302478.387159751,6066241.6108926
132,302488.238130436,6066239.89089941
133,302498.089101121,6066238.17090622
134,302507.940071806,6066236.45091304
135,302517.791042491,6066234.73091985
136,302527.642013176,6066233.01092666
137,302537.492983862,6066231.29093348
138,302547.343954547,6066229.57094029
139,302557.194925232,6066227.85094711
140,302567.045895917,6066226.13095392
141,302576.896866602,6066224.41096073
142,302586.747837287,6066222.69096755
143,302596.598807972,6066220.97097436
144,302606.449778657,6066219.25098117
145,302616.300749342,6066217.53098799
146,302626.151720028,6066215.8109948
147,302636.002690713,6066214.09100161
148,302645.853661398,6066212.37100843
149,302655.704632083,6066210.65101524
150,302665.555602768,6066208.93102206
151,302675.406573453,6066207.21102887
152,302685.257544138,6066205.49103568
153,302695.009974663,6066203.36879453
154,302704.540525646,6066200.34082525
155,302714.071076629,6066197.31285597
156,302723.601627612,6066194.28488669
157,302733.132178595,6066191.25691741
158,302742.662729578,6066188.22894813
159,302752.193280561,6066185.20097885
160,302761.723831544,6066182.17300957
161,302771.254382527,6066179.14504029
162,302780.78493351,6066176.11707101
163,302790.315484494,6066173.08910173
164,302799.846035477,6066170.06113245
